"nba_id","active","first_year","last_year","team_id","veteran","first_name","last_name"
"78138","0","1975","1975","0","Y","Short","Gene"
"78139","0","1978","1989","0","Y","Short","Purvis"
"78140","0","1989","1989","0","Y","Shouse","Dexter"
"78141","0","1948","1948","0","Y","Shrider","Dick"
"78142","0","1954","1963","0","Y","Shue","Gene"
"78143","0","1975","1980","0","Y","Shumate","John"
"202697","1","2011","2017","1610612739","Y","Shumpert","Iman"
"203144","0","2012","2014","0","Y","Shved","Alexey"
"1627783","1","2016","2017","1610612761","Y","Siakam","Pascal"
"78144","0","1972","1972","0","Y","Sibert","Sam"
"78145","0","1973","1973","0","Y","Sibley","Mark"
"78146","0","1980","1989","0","Y","Sichting","Jerry"
"78147","0","1963","1971","0","Y","Siegfried","Larry"
"78148","0","1946","1946","0","Y","Siewert","Ralph"
"78149","0","1977","1990","0","Y","Sikma","Jack"
"78150","0","1976","1981","0","Y","Silas","James"
"78151","0","1964","1979","0","Y","Silas","Paul"
"202918","0","2011","2011","0","Y","Silas","Xavier"
"202081","0","2010","2010","0","Y","Siler","Garret"
"78152","0","1970","1970","0","Y","Silliman","Mike"
"101134","0","2005","2006","0","Y","Simien","Wayne"
"1627732","1","2016","2017","1610612755","N","Simmons","Ben"
"2250","0","2001","2011","0","Y","Simmons","Bobby"
"200759","0","2006","2008","0","Y","Simmons","Cedric"
"78153","0","1946","1955","0","Y","Simmons","Connie"
"78154","0","1946","1946","0","Y","Simmons","Johnny"
"203613","1","2015","2017","1610612753","Y","Simmons","Jonathon"
"1628424","1","2017","2017","1610612763","N","Simmons","Kobi"
"1489","0","1990","1996","0","Y","Simmons","Lionel"
"1750","0","1998","2002","0","Y","Simon","Miles"
"54","0","1994","2001","0","Y","Simpkins","Dickey"
"202067","0","2011","2011","0","N","Simpson","Diamon"
"78157","0","1976","1979","0","Y","Simpson","Ralph"
"1591","0","1998","1998","0","Y","Sims","Alvin"
"78160","0","1961","1961","0","Y","Sims","Bob"
"201235","0","2007","2008","0","Y","Sims","Courtney"
"78159","0","1968","1968","0","Y","Sims","Doug"
"203156","0","2012","2015","0","Y","Sims","Henry"
"78161","0","1977","1977","0","Y","Sims","Scott"
"202713","1","2012","2017","1610612760","Y","Singler","Kyle"
"201606","0","2008","2008","0","Y","Singletary","Sean"
"202698","0","2011","2013","0","Y","Singleton","Chris"
"101189","0","2005","2011","0","Y","Singleton","James"
"78162","0","1986","1986","0","Y","Singleton","Mckinley"
"78163","0","1951","1953","0","Y","Sinicola","Zeke"
"78164","0","1984","1984","0","Y","Sitton","Charlie"
"203491","0","2013","2013","0","Y","Siva","Peyton"
"101","0","1986","1995","0","Y","Skiles","Scott"
"78167","0","1976","1979","0","Y","Skinner","Al"
"1730","0","1998","2011","0","Y","Skinner","Brian"
"78168","0","1974","1975","0","Y","Skinner","Talvin"
"78169","0","1951","1956","0","Y","Skoog","Whitey"
"78170","0","1962","1962","0","Y","Slade","Jeff"
"1073","0","1994","2002","0","Y","Slater","Reggie"
"78171","0","1951","1951","0","Y","Slaughter","Jim"
"78172","0","1982","1982","0","Y","Slaughter","Jose"
"2447","0","2002","2004","0","Y","Slay","Tamar"
"202388","0","2011","2015","0","Y","Sloan","Donald"
"78173","0","1965","1975","0","Y","Sloan","Jerry"
"101166","0","2006","2006","0","Y","Slokar","Uros"
"78174","0","1984","1984","0","Y","Sluby","Tom"
"78175","0","1988","1988","0","Y","Smart","Keith"
"203935","1","2014","2017","1610612738","Y","Smart","Marcus"
"78176","0","1946","1951","0","Y","Smawley","Belus"
"78177","0","1948","1949","0","Y","Smiley","Jack"
"78178","0","1961","1970","0","Y","Smith","Adrian"
"78207","0","1971","1972","0","Y","Smith","Bill"
"78209","0","1961","1961","0","Y","Smith","Bill"
"78202","0","1969","1979","0","Y","Smith","Bingo"
"78203","0","1959","1961","0","Y","Smith","Bobby"
"293","0","1988","1996","0","Y","Smith","Charles"
"1520","0","1997","2005","0","Y","Smith","Charles"
"78179","0","1989","1995","0","Y","Smith","Charles"
"1814","0","1992","1994","0","Y","Smith","Chris"
"203147","0","2013","2013","0","Y","Smith","Chris"
"78181","0","1986","1990","0","Y","Smith","Clinton"
"200783","0","2006","2011","0","Y","Smith","Craig"
"78182","0","1946","1946","0","Y","Smith","Deb"
"78183","0","1982","1990","0","Y","Smith","Derek"
"78184","0","1974","1974","0","Y","Smith","Don"
"78185","0","1948","1948","0","Y","Smith","Donald"
"2764","0","2004","2005","0","Y","Smith","Donta"
"475","0","1991","1995","0","Y","Smith","Doug"
